Time,Title,Types,Number of reads,Comments,Author
10-04 22:19,中航国际(00161-HK)被长和减持530万股,资讯,2553,1,中航国际控股资讯
10-03 19:13,长和再减持中航国际(00161)530万股 涉资3292万元,资讯,2928,3,中航国际控股资讯
10-03 17:54,截至2019年9月30日止月份之股份發行人的證券變動月報,公告,1512,0,长和资讯
09-30 21:30,长和(00001)减持中航国际(00161)156万股 每股作价5.69,资讯,2585,1,中航国际控股资讯
09-24 14:42,中航国际(00161-HK)被长和减持30万股,资讯,1516,0,中航国际控股资讯
09-24 13:34,中航国际飙逾11%创年半高 惟长和上周三减持,资讯,1340,0,财经评论
09-24 10:20,长和有资金追捧 现升逾1%破廿天线,资讯,873,0,财经评论
09-10 09:17,报道指长和夥大马电讯商 洽合并印尼业务,资讯,1523,0,长和资讯
09-06 12:21,李嘉诚基金会最近很忙！再增持长实(01113)95万股 增持,资讯,4712,2,财经评论
09-06 10:07,长和扬近3% 李嘉诚基金会斥逾1亿元增持长实及长和,资讯,1093,0,财经评论
09-03 19:08,传淡马锡搁置出售所持屈臣氏集团股份,资讯,1945,0,长和资讯
09-03 14:33,截至2019年8月31日止月份之股份發行人的證券變動月報,公告,1194,0,长和资讯
09-02 18:53,和黄医药在中国启动治疗免疫性血小板Ｉ期临床试验,资讯,1091,0,长和资讯
08-30 09:26,长和两手共100万股市前交易 涉资6873万元,资讯,1069,0,长和资讯
08-29 09:29,长和两手近247万股市前交易 涉资1.69亿元,资讯,1183,0,长和资讯
08-20 16:22,屈臣氏：去年Z世代在集团旗下品牌消费力增长23％,资讯,2180,0,长和资讯
08-15 17:00,致非登記持有人之通知信函及申請表格:2019年中期報告,公告,1158,0,长和资讯
08-15 16:59,致登記股東之通知信函及申請表格:2019年中期報告之發,公告,1031,0,长和资讯
08-15 16:57,致新登記股東之信函及回條:選擇公司通訊之語言版本及,公告,1015,0,长和资讯
08-15 16:55,2019年中期報告,公告,2276,0,长和资讯
08-12 09:40,长和一手逾58万股市前交易 涉近3948亿元,资讯,1339,1,长和资讯
08-11 09:26,长和维持买入评级，目标价126港元,研报,7337,0,长和资讯
08-08 14:09,马来西亚12名校长和140位华文学校教师集体,资讯,1357,0,财经评论
08-08 10:28,长和一手逾151万股市前交易 涉约1亿元,资讯,1264,0,财经评论
08-06 09:48,长和裂口低开近4% 暂十连跌创逾四年半新低,资讯,1629,0,财经评论
08-04 09:37,长和给予增持评级，目标价106港元,研报,7057,0,长和资讯
08-02 15:54,里昂：降长和(00001)目标价至82港元 维持“,资讯,2231,0,财经评论
08-02 15:54,瑞银：下调长和(00001)目标价至98港元 重申,资讯,1317,0,长和资讯
08-02 15:01,截至2019年7月31日止月份之股份發行人的證,公告,969,0,长和资讯
08-02 13:16,里昂：降长和(0001.HK)目标价至82港元 评级,资讯,1293,0,长和资讯
08-02 11:59,汇丰研究：下调长和目标价至92港元 评级“,资讯,1340,0,财经评论
08-02 11:45,高盛：长和若释放电讯资产价值料反应正面 ,资讯,1323,0,长和资讯
08-02 11:35,野村：维持长和(00001)“买入”评级 目标价,资讯,1189,0,财经评论
08-02 11:06,花旗：长和业绩仍面临英镑贬值压力 降盈测,资讯,1121,0,长和资讯
08-02 10:45,花旗：降长和(00001)目标价至108港元 维持,资讯,1268,0,财经评论
08-02 09:44,花旗：长和业绩仍面临英镑贬值压力 降盈测,资讯,1044,0,财经评论
08-02 09:41,大摩下调长和(00001-HK)目标价 股价跌1%,资讯,591,0,财经评论
08-01 17:11,李泽钜：宽松货币政策或舒缓经济冲击 惟风,资讯,1690,0,长和资讯
08-01 17:05,长和中期港口服务EBIT升10% 基建跌25%,资讯,1265,0,长和资讯
08-01 17:01,长和2019上半年普通股股东应占溢利183.24亿,资讯,1213,0,长和资讯
08-01 16:57,长和(00001.HK)：按IFRS16后 中期EBITDA同,资讯,1200,0,长和资讯
08-01 16:45,长和中期多赚2％至183亿符预期 派息0.87元,资讯,1100,1,长和资讯
08-01 16:37,截至2019年6月30日止六個月之未經審核業績,公告,1550,0,长和资讯
08-01 13:35,长和、长实和长江基建股价纷纷下跌,资讯,2481,0,财经评论
08-01 10:12,长和就出售海外合资经济权益与长建、电能订补充协议,资讯,1099,0,长和资讯
07-31 17:52,聯合公告 - 長江基建協議及電能實業協議之補充協議,公告,1050,0,长和资讯
07-31 13:06,瑞银：予长和(00001)“买入”评级 目标价107港元,资讯,1165,0,财经评论
07-31 12:38,瑞银：予长和(0001.HK)“买入”评级 目标价107港元,资讯,1079,0,财经评论
07-29 16:21,大摩：予长和(00001)“增持”评级 目标价106港元,资讯,1115,0,长和资讯
07-29 15:22,大摩料长和中期盈利按年仅升2% 受累汇率仍吁增持,资讯,1243,0,财经评论
07-29 13:33,大摩：料长和(0001.HK)中期纯利仅增2% 估值和派息为股,资讯,1525,0,财经评论
07-29 12:28,美银美林：重申长和(00001)“买入”评级 降目标价至96,资讯,1434,0,财经评论
07-29 12:17,美银美林：长和(0001.HK)估值吸引但需等待催化剂 降目,资讯,1516,0,财经评论
07-25 09:24,长和两手逾70万股市前交易 涉资5365万元,资讯,1274,0,长和资讯
07-23 10:54,高盛：料长和中期纯利按年升2% 维持“买入”评级,资讯,1502,0,财经评论
07-23 09:23,长和两手共70万股市前交易 涉逾5331万元,资讯,1250,0,财经评论
07-19 17:27,高盛：维持长和(00001)“买入”评级 目标价104港元,资讯,1643,0,长和资讯
07-19 17:18,高盛：料长和(0001.HK)中期核心净利润升2％ 维持“买,资讯,1832,0,财经评论
07-19 12:17,里昂：下调长和目标价至87港元 重申“跑赢大市”评级,资讯,1437,0,财经评论
07-19 11:21,里昂：下调长和目标价至87港元 重申“跑赢大市”评级,资讯,1291,0,财经评论
07-18 17:02,长和(00001.HK)8月1日举行董事会会议 以批准中期业绩,资讯,1233,0,长和资讯
07-18 16:55,董事會會議召開日期,公告,1150,0,长和资讯
07-10 12:38,和黄中国医药股份“一拆十” 为回港上市铺路,资讯,3393,0,财经评论
07-08 14:59,长和随市挫近2% 失守多条主要平均线,资讯,1347,0,长和资讯
07-03 15:24,截至2019年6月30日止月份之股份發行人的證券變動月報,公告,1233,0,长和资讯
07-03 09:51,长和一手近91万股市前交易 涉资7009万元,资讯,1328,0,财经评论
06-27 20:32,长和(00001)旗下Wind Tre与Fastweb签约合建意大利5G网,资讯,1515,0,长和资讯
06-27 09:29,长和两手近60万股市前交易 涉资逾4598万元,资讯,1185,0,财经评论
06-26 10:40,WindTre与Fastweb合作部署推出意大利全国5G网络,资讯,1387,0,财经评论
06-24 09:57,长和回吐逾1% 公司早前搁置旗下医药公司上市,资讯,1401,0,财经评论
06-24 09:45,恒指低开0.26%报28400点 黄金股、港口航运股逆市上涨,资讯,1908,0,财经评论
06-18 15:53,传和黄中国医药科技延迟在港上市 长和(00001)跑输大市,资讯,1944,1,长和资讯
06-18 15:17,传长和（00001）旗下和黄中国医药科技延迟在港上市 重,资讯,1617,0,长和资讯
06-13 17:44,汇证降低长和目标价,资讯,7157,0,财经评论
06-13 16:35,首域金融小评：欧洲央行长和欧洲央行执委科尔参加欧元,资讯,4123,0,财经评论
06-13 11:44,汇丰：微降长和目标价至95港元 评级维持“买入”,资讯,1522,0,财经评论
06-11 09:47,长和两手逾112万股市前交易 涉资近8578万元,资讯,2099,0,财经评论
06-10 15:52,与汇丰(00005)合作推零售积分互换 屈臣氏称无上市时间,资讯,1693,0,财经评论
06-10 13:47,屈臣氏：目前无上市时间表 亦无上市压力,资讯,1794,0,长和资讯
06-10 13:31,长和旗下Three宣布将于8月推出5G服务,资讯,1981,0,财经评论
06-10 08:57,长和（00001）旗下英国移动通讯服务商Three宣布将于8,资讯,1569,0,长和资讯
06-10 08:52,长和旗下英国移动通讯服务商Three宣布8月推出5G服务,资讯,1572,0,长和资讯
06-06 14:39,长和(00001-HK)获执董施熙德增持2万股,资讯,1460,0,长和资讯
06-06 10:15,和黄医药据报今日开始评估投资者需求,资讯,1719,0,长和资讯
06-05 16:41,高盛：长和估值回到5年低 降目标至104元吁买入,资讯,7477,1,财经评论
06-05 10:59,高盛：维持长和“买入”评级 降目标价至104港元,资讯,1386,0,财经评论
06-04 12:45,截至2019年5月31日止月份之股份發行人的證券變動月報,公告,1358,0,长和资讯
05-31 15:10,长和(00001-HK)获执行董事霍建宁增持5万股,资讯,1747,1,长和资讯
05-31 15:10,长和(00001-HK)获非执行董事李业广增持10万股,资讯,1388,0,长和资讯
05-31 10:31,长和(00001)获霍建宁连续三日增持 现弹逾1%,资讯,1485,0,财经评论
05-30 20:05,霍建宁连续三日增持长和共35万股 涉资近2600万元,资讯,1787,0,长和资讯
05-30 19:53,霍建宁增持长和(00001)共35万股，总值2596.2万港元,资讯,1499,0,长和资讯
05-30 19:51,霍建宁2596.18万港元增持长和(00001.HK)35万股,资讯,1729,1,长和资讯
05-30 13:18,屈臣氏与资生堂达成三年合作计划 携手研发创新美容产,资讯,1755,0,长和资讯
05-29 17:42,长和(00001)：Wind Tre 一季度经调整收益总额为11.77,资讯,1660,0,长和资讯
05-29 17:19,长和附属Wind Tre首季EBITDA5.3亿欧罗,资讯,2090,1,财经评论
05-29 16:36,自願性公告 - WIND TRE S.P.A.之2019年第一季度業績,公告,1673,0,长和资讯
05-27 11:08,短线与超短线该买甚么？沽甚么？,资讯,2174,0,财经评论
05-23 04:29,港股市场机构沽空报告全揭秘：曾把首富拉下马 也让投,资讯,11280,9,财经评论
05-22 19:12,长和(00001)附属和黄中国医药科技授出1.8万份认股权,资讯,1631,0,长和资讯
05-22 18:53,长和(00001.HK)：和黄中国医药科技授出1.8万份认股权,资讯,1734,0,长和资讯
05-22 18:43,和黃中國醫藥科技有限公司授出認股權,公告,1377,0,长和资讯
05-22 10:21,即市超短线造好与造淡的参考对象,资讯,2098,0,财经评论
05-21 14:15,李泽钜：买长和就是买全球货币,资讯,2963,0,财经评论
05-17 15:42,李泽钜怒怼空头：多读点书 才能看懂年报,资讯,1832,0,长和资讯
05-17 08:33,李泽钜股东会怼空头：“读多点书”才能看懂我们的年报,资讯,28327,8,长和资讯
05-16 19:41,2019年5月16日舉行之股東週年大會 – 投票表決結果,公告,1458,0,长和资讯
05-16 16:05,李泽钜公开回应GMT沽空：公司财报一定专业准确,资讯,2209,4,长和资讯
05-16 14:36,竟有机构狙击李嘉诚 香港分析师：GMT财技分析弱爆了,资讯,1972,0,财经评论
05-16 12:59,做空机构狙击李嘉诚称长和年报隐瞒负债 回应：严重误,资讯,2152,0,财经评论
05-16 09:07,李嘉诚长子李泽钜接班后长和首份年报被质疑隐瞒债务,资讯,2927,0,长和资讯
05-16 08:24,577亿港元债务被隐瞒？李泽钜接班后 长和首份年报遭质,资讯,3019,0,财经评论
05-16 07:55,李泽钜接班后长和首份年报遭质疑 评级屡被下调,资讯,5766,3,长和资讯
05-16 01:11,李嘉诚已离去 沽空长和的时机到了吗？,资讯,4434,1,长和资讯
05-16 00:14,大漠孤烟直 被沽空的长和（00001）如何演绎落日圆？,资讯,1717,0,长和资讯
05-15 22:15,竟有机构狙击李嘉诚、做空长和套利？香港分析师：沽空,资讯,3900,0,长和资讯
05-15 18:26,分析师宣战李嘉诚：你们公司577亿港元债务藏哪了？,资讯,2094,1,长和资讯
05-15 17:42,港股小幅收涨 长和系股票悉数下跌,资讯,1690,0,财经评论
05-15 16:31,长和隐瞒577亿债务？李嘉诚公司被沽空,资讯,2497,0,长和资讯
05-15 15:24,长和（00001.HK）遭唱空：碰瓷OR潜藏隐患？,资讯,1650,0,长和资讯
05-15 14:30,沽空机构狙击李嘉诚长和全文翻译：建议投资者卖出,资讯,2879,0,财经评论
05-15 14:02,长和就GMT研究报告发布澄清公告：强烈否认导言所含的,资讯,2807,0,长和资讯
05-15 13:56,小小分析师宣战“超人”李嘉诚：你们公司577亿港元债,资讯,8750,4,长和资讯
05-15 13:38,做空机构今日瞄准李嘉诚 长和深夜否认隐瞒577亿港元债,资讯,2753,0,财经评论
05-15 13:29,长和被沽空机构妄狙击 监管何时保障投资者,资讯,2790,0,财经评论
05-15 13:25,GMT Research狙击长和全文：建议投资者卖出,资讯,3333,0,长和资讯
05-15 12:46,李嘉诚公司被唱空 长和隐瞒577亿债务？,资讯,4259,0,财经评论
05-15 10:25,发布澄清公告指GMT沽空报告具严重误导性 长和(00001),资讯,3015,0,财经评论
05-15 10:22,长和微跌不足1% 否认沽空机构GMT研究报告,资讯,3332,0,财经评论
05-15 09:58,被指隐瞒577亿债务？李嘉诚旗下公司深夜澄清：严重误,资讯,3913,0,长和资讯
05-15 09:44,长和(0001.HK)发公告澄清沽空机构GMT指控 股价高开0.2,资讯,2988,0,财经评论
05-15 09:23,长和否认沽空机构GMT导言 重申严格遵守会计准则,资讯,3275,0,长和资讯
05-15 08:54,狙击李嘉诚？GMT沽空长和前夜 做空股数离奇暴增,资讯,4647,2,长和资讯
05-15 08:40,长和隐瞒577亿港元债务？李嘉诚公司被机构沽空,资讯,3939,0,长和资讯
05-15 05:14,长和隐瞒577亿债务？李嘉诚公司被沽空,资讯,15308,3,长和资讯
05-15 00:28,长和回应隐藏577亿港元债务沽空报告：强烈否认所含影,资讯,4606,0,长和资讯
05-14 23:51,长和发布澄清公告：财务报表严格遵守适用香港财务报告,资讯,4157,0,长和资讯
05-14 23:40,遭沽空机构GMT指认“有机会隐藏577亿港元债务” 长和,资讯,4161,1,长和资讯
05-14 23:32,长和(00001)澄清：GMT作出的指控具有严重误导性,资讯,1388,0,长和资讯
05-14 23:18,长和(00001.HK)：完全否认导言内会计违规所含的任何影,资讯,1505,0,长和资讯
05-14 23:10,澄清公告,公告,2024,0,长和资讯
05-14 18:20,沽空机构GMT：长和隐瞒577亿元债务以获较高评级及低价,资讯,2398,0,财经评论
05-14 17:47,沽空机构GMT：长和(0001.HK)隐瞒577亿港元债务 为获取,资讯,2483,0,长和资讯
05-14 17:36,沽空机构GMT指长和(00001)隐瞒577亿港元债务 为获取廉,资讯,2209,0,长和资讯
05-14 17:09,沽空机构GMT指长和隐瞒577亿港元债务 为获取廉价贷款,资讯,57029,172,财经评论
05-09 13:58,长和跌逾1％ 澳洲合并计划被否决拟提上诉,资讯,2664,0,财经评论
05-08 16:53,TPG与长和旗下澳洲VHA合并受阻 VHA拟向联邦法院提上诉,资讯,2128,0,长和资讯
05-03 18:48,海峡石油化工(00852.HK)延长收购长和物业投资全部股本,资讯,1916,0,海峡石油化工资讯
05-03 18:29,截至2019年4月30日止月份之股份發行人的證券變動月報,公告,2256,0,长和资讯
04-29 10:04,香港恒生指数开盘涨0.43% 长和等涨逾1%领涨蓝筹股,资讯,3880,0,长和资讯
04-29 08:30,赫斯基能源上季赚19亿元 按季增52％,资讯,4380,0,财经评论
04-23 09:08,背靠李嘉诚仍亏损 和黄医药拟闯港股,资讯,3273,0,财经评论
04-23 09:04,背靠李嘉诚仍亏损：和黄医药拟闯港股 研发开支飙升,资讯,3250,0,财经评论
04-18 15:19,亏损两年力求上市 李嘉诚 创新药能否救和黄医药于“水,资讯,1268,0,长和资讯
04-17 13:17,欧宗洪家族信托增持融信中国167万股 每股11.791港元,资讯,2938,0,财经评论
04-15 15:44,和黄中国医药科技申请上市 长和持股或降至五成以下,资讯,2288,0,财经评论
04-15 15:19,长和旗下和黄中国医药科技申请在港上市,资讯,1227,0,长和资讯
04-12 10:49,富瑞升长和盈测约1至4%,资讯,2794,0,长和资讯
04-10 16:38,长和2018年营收增长9% 主要收入来源于零售,资讯,1341,0,长和资讯
04-10 12:02,长和李泽钜去年酬金1.12亿元 加幅10.9%胜霍建宁,资讯,1677,1,财经评论
04-09 17:32,致非登記持有人之通知信函及申請表格:2018年年報、通,公告,784,0,长和资讯
04-09 17:30,致登記股東之通知信函及申請表格:2018年年報、通函、,公告,775,0,长和资讯
04-09 17:30,股東週年大會通告;重選董事、董事酬金及一般性授權發,公告,782,0,长和资讯
04-09 17:30,致新登記股東之信函及回條:選擇公司通訊之語言版本及,公告,711,0,长和资讯
04-09 17:30,代表委任表格,公告,729,0,长和资讯
04-09 17:23,2018年年報,公告,1246,0,长和资讯
04-09 17:18,屈臣氏与资生堂共同研发医学护肤产品系列 将引入产品,资讯,1715,0,财经评论
04-09 09:40,长和两手共111万股市前交易 涉逾9540万,资讯,2777,0,长和资讯
04-02 14:43,截至2019年3月31日止月份之股份發行人的證券變動月報,公告,696,0,长和资讯
04-01 14:07,长和有两手共117万股市前交易 涉9691万元,资讯,2407,0,长和资讯
03-29 23:10,聯合公告 – 長江實業協議之補充協議,公告,1576,0,长和资讯
03-27 10:39,屈臣氏不排除上市 淡马锡减持对业务影响不大,资讯,2101,0,长和资讯
03-26 04:43,李泽钜接棒一年 长和系继续全球收购,资讯,4259,0,长和资讯
03-24 11:45,"长和下调目标价至107元，评级""买入""",研报,9247,1,长和资讯
03-22 15:12,中移业绩后偏软 留意中移购22961,资讯,2493,0,财经评论
03-22 15:07,年度股东应占溢利同比增11% 长和(00001)高,资讯,2167,0,长和资讯
03-22 14:05,长和涨逾2% 去年纯利升11%至390亿港元,资讯,2335,0,财经评论
03-22 11:41,野村：长和去年业绩保持稳健 吁买入及目标1,资讯,2561,0,长和资讯
03-22 11:37,里昂：升长和(00001)目标价至94元 评级维持,资讯,2407,0,财经评论
03-22 11:36,瑞银：下调长和(00001)目标价至107元 评级,资讯,2335,0,财经评论
03-22 11:29,瑞银：下调长和(00001.HK)目标价至107港元 ,资讯,2113,0,长和资讯
03-22 11:23,里昂：升长和(00001.HK)目标价至94港元 维,资讯,1995,0,长和资讯
03-22 11:07,野村：长和去年业绩保持稳健 吁买入及目标,资讯,2589,0,长和资讯
03-22 10:22,长和绩后升近2% 大摩维持增持投资评级,资讯,5002,0,财经评论
03-21 22:03,长和去年盈利390亿港元 同比升11%,资讯,5114,0,长和资讯
03-21 21:56,李泽钜首次以主席身份出席业绩会 表示担任,资讯,2729,0,财经评论
03-21 21:54,长和：2018年净利润390亿港元 同比增11%,资讯,2044,0,长和资讯
03-21 20:59,李泽钜：未来著眼资产增值 酒店业务未反映,资讯,2473,0,财经评论
03-21 19:23,李泽钜：难预测本港楼市 港人有住屋需要惟,资讯,1917,0,长和资讯
03-21 18:51,李泽钜：没志在必得的收购 若有分拆业务上,资讯,2814,0,财经评论
03-21 17:37,【长和业绩】欧洲3G集团EBIT升7%至176.63亿,资讯,2039,0,长和资讯
03-21 17:31,李泽钜：上任后策略一定没改变 继续发展不,资讯,2080,0,长和资讯
03-21 17:29,长和去年港口业务EBIT6升%至87.26亿元,资讯,1839,0,长和资讯
03-21 17:14,长和：2018年净利390亿港元 同比增长11%,资讯,1750,0,长和资讯
03-21 17:08,大摩：传腾讯竞购屈臣氏 长和目标价有上行5,资讯,2434,0,财经评论
03-21 17:07,长和去年纯利升11%至390亿 派末期息2.3元,资讯,1754,0,长和资讯
03-21 17:05,长和(00001.HK)2018年纯利升11%至390亿港元,资讯,1976,0,长和资讯
03-21 16:57,长和(00001)年度股东应占溢利增11%至390亿,资讯,1733,0,长和资讯
03-21 16:38,截至2018年12月31日止年度之業績,公告,1618,0,长和资讯
03-21 13:41,长和奋力上试200天线 留意购16773,资讯,4003,0,财经评论
03-21 09:41,长和多手共132万股市前交易 涉近1.09亿,资讯,4173,0,长和资讯
03-20 15:29,明日披露年报 长和(00001)绩前抢跑涨3%,资讯,1919,0,长和资讯
03-20 14:30,里昂：升长和(00001)目标价至86元 评级“跑,资讯,2225,0,财经评论
03-20 13:52,长和涨2.24% 明天公布去年业绩 券商唱好,资讯,2394,0,财经评论
03-20 13:29,长和升2%破廿天线 传腾讯竞购淡马锡所持屈,资讯,2974,0,财经评论
03-20 11:28,里昂：升长和(00001.HK)目标价至86港元 评,资讯,1938,0,长和资讯
03-17 10:57,长和给予增持评级，目标价106元,研报,8736,0,长和资讯
03-15 16:39,11家券商对长和(00001.HK)最新投资评级及目,资讯,2750,0,长和资讯
03-14 16:50,大摩：予长和(00001)评级“增持” 目标价10,资讯,2042,0,长和资讯
03-14 16:33,大摩：预计长和去年经常性盈利升11% 目标价,资讯,3246,0,长和资讯
03-14 16:03,大摩料长和去年经常性盈利升11% 目标价106,资讯,4077,0,财经评论
03-14 10:39,美银美林：下调长和(00001)目标价至100元 ,资讯,4044,0,财经评论
03-14 10:29,美银美林：下调长和(00001.HK)目标价至100,资讯,2081,0,长和资讯
03-11 17:34,长和旗下屈臣氏与欧莱雅合作推虚拟实景试妆,资讯,3948,0,长和资讯
03-07 17:54,长和(00001.HK)3月21日举行董事会会议 批准,资讯,3335,0,长和资讯
03-07 17:33,董事會會議召開日期,公告,812,0,长和资讯
03-06 17:22,长和霍建宁：怎会缩减内地业务？只会愈来愈,资讯,1917,0,长和资讯
03-05 21:24,海峡石油化工(00852.HK)拟7800万港元收购长,资讯,3520,0,海峡石油化工资讯
03-05 14:20,截至2019年2月28日止月份之股份發行人的證,公告,614,0,长和资讯
03-04 19:48,长和(00001)旗下欧洲3集团将联手西班牙电信,资讯,3487,0,长和资讯
03-04 17:13,长和将夥拍西班牙电信为大型企业提供数位通,资讯,5643,0,长和资讯
02-27 10:49,长和现涨近1% 连升两日破4个月高,资讯,3224,0,长和资讯
02-22 17:12,港股整固期或到本月底 短线29000有阻力,资讯,4355,0,财经评论
02-18 18:56,屈臣氏与爱茉莉太平洋集团组成策略联盟,资讯,6156,0,财经评论
02-18 16:58,长和旗下屈臣氏与韩国化妆品公司组成策略联,资讯,3866,0,长和资讯
02-12 11:11,长和(00001)现跌逾2% 暂表现最差蓝筹,资讯,3566,0,财经评论
02-05 08:02,李泽钜接班后首战告负？23岁李嘉诚孙女走向,资讯,16.2万,19,长和资讯
02-04 14:59,截至2019年1月31日止月份之股份發行人的證,公告,842,0,长和资讯
01-28 14:36,李嘉诚23岁孙女出任家族地产公司兆丰地产董,资讯,7225,0,长和资讯
01-25 16:37,更改香港主要營業地點,公告,1124,0,长和资讯
01-18 13:49,赫斯基购同业MEC交易告吹,资讯,5033,0,财经评论
01-17 14:56,议会投票后 脱欧走向及对港股影响,资讯,4692,0,财经评论
01-15 17:49,屈臣氏运用数据预测分析技术推广销售产品,资讯,3746,0,财经评论
01-15 10:29,英国议会脱欧投票前夕 长和现涨逾1%,资讯,5866,0,财经评论
01-10 21:59,摩通减持长和156万股 每股76.0344元,资讯,3172,0,长和资讯
01-10 20:03,摩根大通减持长和(00001)156万股 每股作价7,资讯,3310,0,长和资讯
01-09 16:14,长和（00001）旗下加拿大赫斯基能源研究出,资讯,4525,0,长和资讯
01-07 22:09,董事名單及其角色與職能,公告,1215,0,长和资讯
01-07 22:05,提名委員會 - 職權範圍,公告,692,0,长和资讯
01-07 22:02,審核委員會 - 職權範圍,公告,641,0,长和资讯
01-03 18:26,截至2018年12月31日止月份之股份發行人的證,公告,619,0,长和资讯
01-02 17:06,里昂：港综合股首选太古(00019.HK)长和(000,资讯,5794,0,财经评论
01-02 16:19,长和随市受压现跌逾1% 创近四年新低,资讯,3609,0,财经评论
12-10 20:09,小摩增持长和(00001)414万股 每股作价82.28,资讯,2498,0,长和资讯
12-04 17:25,截至2018年11月30日止月份之股份發行人的證,公告,1093,0,长和资讯
11-29 21:01,摩根大通减持长和(00001)391万股，每股作价,资讯,4910,0,长和资讯
11-29 13:23,高盛：降长和(00001)目标价至116港元 维持,资讯,5194,0,财经评论
11-28 15:25,里昂：降长和(00001)目标价至87港元 香港综,资讯,6731,0,长和资讯
11-27 16:04,小摩：恒指明年底目标27300点 首选长和(000,资讯,7287,2,财经评论
11-27 13:44,长和(00001.HK)：WIND TRE首9月EBITDA达 13,资讯,4713,0,长和资讯
11-27 13:39,长和(00001)：附属Wind Tre前三季度收益总,资讯,5228,0,长和资讯
11-27 07:57,自願性公告 – WIND TRE S.P.A.之2018年九,公告,2055,0,长和资讯
11-26 21:05,摩根大通增持长和(00001)977万股 每股作价8,资讯,6514,0,长和资讯
11-20 19:47,擬透過信託計劃方式由競投公司收購APA於澳,公告,1602,0,长和资讯
11-16 10:38,舍弃美妆电商 美图如何继续“美”？,资讯,9994,0,财经评论
11-12 08:24,李嘉诚收购澳洲最大燃气公司受阻海外投资4800亿曾被批,资讯,23150,1,财经评论
11-05 17:39,截至2018年10月31日止月份之股份發行人的證券變動月報,公告,1365,0,长和资讯
10-22 18:05,长和(00001.HK)：和黄中国医药科技授出4.3,资讯,9455,0,长和资讯
10-22 17:20,和黃中國醫藥科技有限公司授出認股權,公告,1307,0,长和资讯
10-16 23:08,“社交媒体+零售” 美图与李嘉诚家族旗下长,资讯,13514,2,美图公司资讯
10-16 21:38,美图公司(01357.HK)与长和(00001.HK)组成策,资讯,7760,0,美图公司资讯
10-16 21:17,美图公司(01357)与长江和记(00001)组成策略,资讯,6595,0,美图公司资讯
10-16 15:36,美图与长江和记达成战略合作 将美图定制服,资讯,6810,2,美图公司资讯
10-16 14:47,长江和记集团与美图结盟  提升线上线下互动,资讯,6443,0,财经评论
10-04 20:23,摩根大通减持长和(00001)415万股，每股作价,资讯,9651,0,长和资讯
10-02 14:11,里昂：予长和(00001.HK)“跑输大市”评级及,资讯,9379,0,长和资讯
10-02 14:06,旗下赫斯基拟64亿加元敌意收购MEG能源 长和,资讯,8628,0,长和资讯
10-02 13:43,里昂：长和(00001)旗下赫斯基提购MEG对现金,资讯,6722,0,长和资讯
09-19 18:19,长和(00001)9月19日注销143.8万股,资讯,4781,0,长和资讯
09-19 18:10,长和(00001.HK)9月19日注销143.8万股,资讯,4522,0,长和资讯
09-19 18:00,翌日披露報表 – 已發行股本變動,公告,1306,0,长和资讯
09-14 09:29,花旗：予长和(00001.HK)“买入”评级 目标,资讯,6046,0,长和资讯
09-12 14:37,澳洲并购获初步批准 长和(00001.HK)涨近2%,资讯,6933,0,财经评论
09-07 16:43,长和(00001.HK)完成收购VEON于VIP-CKH Luxe,资讯,5097,0,长和资讯
