,CMC.5.Long.Decile.1.Lookback.1.All,CMC.5.Long.Decile.1.Lookback.1.Positive,CMC.5.Long.Decile.1.Lookback.1.Negative,CMC.5.Short.Decile.10.Lookback.10.All,CMC.5.Short.Decile.10.Lookback.10.Positive,CMC.5.Short.Decile.10.Lookback.10.Negative,CMC.1.Short.Decile.10.Lookback.8.Negative,year
Periods,1075.000,1075.000,1075.000,1075.000,1075.000,1075.000,1075.000,all
Return,0.699,0.557,0.998,0.881,0.676,1.026,1.315,all
Daily_Max,0.077,0.080,0.077,0.030,0.028,0.028,0.028,all
Daily_Min,-0.033,-0.025,-0.026,-0.027,-0.028,-0.033,-0.028,all
Annual_Return,0.134,0.111,0.178,0.162,0.130,0.182,0.220,all
Volatility,0.096,0.095,0.098,0.105,0.104,0.106,0.109,all
SemiDeviation,0.058,0.057,0.058,0.074,0.073,0.075,0.077,all
MaxDrawdown,0.122,0.154,0.091,0.151,0.163,0.166,0.137,all
Sharpe,1.387,1.171,1.816,1.538,1.256,1.717,2.011,all
Sortino,2.307,1.949,3.063,2.187,1.787,2.421,2.868,all
Calmar,1.094,0.718,1.962,1.068,0.799,1.096,1.609,all
Skewness,2.717,3.034,2.716,-0.002,0.002,-0.087,0.002,all
, , , , , , , , 
Periods,203.000,203.000,203.000,203.000,203.000,203.000,203.000,2015
Return,0.450,0.484,0.690,0.207,0.207,0.241,0.387,2015
Daily_Max,0.077,0.080,0.077,0.030,0.028,0.028,0.025,2015
Daily_Min,-0.033,-0.025,-0.026,-0.027,-0.028,-0.033,-0.028,2015
Annual_Return,0.592,0.638,0.926,0.266,0.266,0.309,0.505,2015
Volatility,0.180,0.175,0.181,0.136,0.137,0.138,0.145,2015
SemiDeviation,0.107,0.102,0.107,0.100,0.100,0.102,0.106,2015
MaxDrawdown,0.055,0.049,0.053,0.151,0.163,0.166,0.137,2015
Sharpe,3.289,3.642,5.126,1.957,1.939,2.246,3.491,2015
Sortino,5.519,6.229,8.635,2.661,2.665,3.030,4.744,2015
Calmar,10.686,12.984,17.510,1.756,1.630,1.861,3.691,2015
Skewness,1.848,2.151,1.811,-0.357,-0.282,-0.481,-0.394,2015
, , , , , , , , 
Periods,243.000,243.000,243.000,243.000,243.000,243.000,243.000,2016
Return,0.140,0.120,0.092,0.116,0.090,0.115,0.203,2016
Daily_Max,0.019,0.015,0.014,0.015,0.016,0.013,0.018,2016
Daily_Min,-0.012,-0.011,-0.013,-0.014,-0.014,-0.013,-0.014,2016
Annual_Return,0.147,0.126,0.097,0.121,0.094,0.121,0.213,2016
Volatility,0.068,0.062,0.067,0.082,0.081,0.084,0.085,2016
SemiDeviation,0.045,0.042,0.045,0.058,0.057,0.060,0.060,2016
MaxDrawdown,0.042,0.039,0.040,0.054,0.045,0.039,0.032,2016
Sharpe,2.160,2.030,1.450,1.479,1.160,1.435,2.504,2016
Sortino,3.240,3.018,2.170,2.104,1.649,2.016,3.572,2016
Calmar,3.503,3.208,2.441,2.243,2.084,3.075,6.631,2016
Skewness,0.483,0.288,0.317,0.043,0.038,-0.057,0.067,2016
, , , , , , , , 
Periods,243.000,243.000,243.000,243.000,243.000,243.000,243.000,2017
Return,0.035,0.005,0.056,0.033,-0.015,0.052,0.021,2017
Daily_Max,0.011,0.010,0.010,0.023,0.023,0.024,0.028,2017
Daily_Min,-0.009,-0.009,-0.011,-0.018,-0.024,-0.018,-0.021,2017
Annual_Return,0.036,0.005,0.059,0.035,-0.015,0.055,0.022,2017
Volatility,0.050,0.051,0.054,0.105,0.103,0.105,0.111,2017
SemiDeviation,0.035,0.036,0.039,0.073,0.072,0.074,0.076,2017
MaxDrawdown,0.028,0.046,0.042,0.069,0.085,0.064,0.064,2017
Sharpe,0.728,0.102,1.086,0.331,-0.149,0.519,0.197,2017
Sortino,1.025,0.142,1.522,0.475,-0.215,0.736,0.287,2017
Calmar,1.281,0.113,1.400,0.506,-0.181,0.857,0.343,2017
Skewness,-0.063,-0.064,-0.092,0.124,0.118,0.061,0.249,2017
, , , , , , , , 
Periods,242.000,242.000,242.000,242.000,242.000,242.000,242.000,2018
Return,-0.039,-0.069,0.001,0.232,0.172,0.251,0.210,2018
Daily_Max,0.012,0.014,0.012,0.022,0.017,0.018,0.017,2018
Daily_Min,-0.014,-0.014,-0.014,-0.022,-0.019,-0.024,-0.022,2018
Annual_Return,-0.041,-0.072,0.001,0.245,0.182,0.265,0.221,2018
Volatility,0.061,0.063,0.064,0.095,0.092,0.094,0.092,2018
SemiDeviation,0.041,0.045,0.045,0.065,0.064,0.065,0.063,2018
MaxDrawdown,0.077,0.093,0.060,0.047,0.050,0.045,0.043,2018
Sharpe,-0.684,-1.147,0.013,2.585,1.985,2.822,2.408,2018
Sortino,-0.999,-1.609,0.018,3.751,2.850,4.066,3.484,2018
Calmar,-0.534,-0.775,0.013,5.170,3.616,5.870,5.111,2018
Skewness,0.141,-0.120,-0.070,0.144,0.060,0.050,0.101,2018
, , , , , , , , 
Periods,140.000,140.000,140.000,140.000,140.000,140.000,140.000,2019
Return,0.034,0.001,0.024,0.097,0.103,0.112,0.124,2019
Daily_Max,0.012,0.012,0.017,0.022,0.023,0.022,0.023,2019
Daily_Min,-0.012,-0.012,-0.010,-0.015,-0.014,-0.015,-0.019,2019
Annual_Return,0.062,0.001,0.044,0.182,0.194,0.212,0.235,2019
Volatility,0.070,0.070,0.070,0.107,0.104,0.109,0.113,2019
SemiDeviation,0.048,0.050,0.047,0.071,0.070,0.072,0.076,2019
MaxDrawdown,0.067,0.071,0.060,0.106,0.104,0.106,0.120,2019
Sharpe,0.891,0.021,0.626,1.693,1.872,1.946,2.078,2019
Sortino,1.294,0.030,0.946,2.569,2.796,2.938,3.094,2019
Calmar,0.930,0.021,0.736,1.719,1.874,1.998,1.960,2019
Skewness,0.180,-0.138,0.570,0.470,0.409,0.494,0.300,2019
